pos,pos+,artist,title,days,pk_,(x),streams,streams+,7day,7day+,total
48,-1,Miley Cyrus,Flowers,431,1,(x82),2022491,110318,15510902,-230521,1838616019
49,-7,KAROL G,QLONA,221,4,,2004356,-46638,15717621,-185719,688265701
50,-1,Olivia Rodrigo,vampire,263,1,(x7),2002307,125655,14792791,-176172,835997204
51,11,Richy Mitch & The Coal Miners,Evergreen,66,51,,1991401,247480,13030913,124235,99258543
52,4,David Kushner,Daylight,338,4,,1980315,170636,13805693,17134,950083176
53,=,Harry Styles,As It Was,719,1,(x81),1978221,148067,14252990,-78121,3040464426
54,9,Rich Amiri,ONE CALL,50,39,,1947818,209828,13492620,-68049,96678918
55,2,Coldplay,Viva La Vida,598,44,,1905957,109489,13637042,1777,819323618
56,2,SZA,Snooze,456,25,,1904121,108500,13495969,-63672,834621987
57,4,Ariana Grande,supernatural,11,15,,1896089,138263,16528549,-1616980,31643120
58,2,Bruno Mars,Locked out of Heaven,872,36,,1880950,118878,13570268,51183,803759082
59,-4,Doja Cat,Paint The Town Red,228,1,(x25),1873123,55612,13978864,-80435,924128885
60,15,Dasha,Austin,9,60,,1835543,287637,12231810,383629,14791472
61,-11,Maluma,Según Quién,187,16,,1830087,-39299,14031729,-16029,416738825
62,2,Taylor Swift,Lover,417,2,(x2),1816541,100682,12700203,-67461,664908615
63,2,The Weeknd,Die For You,809,9,,1789499,84947,12547816,-28536,1522735665
64,-16,Calle 24,Que Onda,200,13,,1779823,-98178,13545288,-69618,499859004
65,1,Ariana Grande,don't wanna break up again,11,13,,1777694,121839,15716018,-1621586,30555641
66,1,The Weeknd,Blinding Lights,1572,1,(x82),1775186,167837,12655428,45594,4049362956
67,6,Lewis Capaldi,Someone You Loved,1884,4,,1763764,201942,12362216,30323,3170249170
68,16,Good Neighbours,Home,46,56,,1761113,251221,11985625,-25558,76189028
69,-10,Creepy Nuts,Bling-Bang-Bang-Born,66,52,,1760429,-11960,12765793,-84344,119501575
70,-16,Fuerza Regida,HARLEY QUINN,145,10,,1745425,-72215,12644013,94543,357425757
71,5,Tom Odell,Another Love,1069,11,,1689233,146500,11894584,-18124,1836348526
72,-3,Doja Cat,Agora Hills,179,13,,1681931,84131,12208571,-6047,404915868
73,-3,Taylor Swift,Anti-Hero,513,1,(x20),1676938,79491,12039178,-40169,1442549873
74,-6,LE SSERAFIM,Smart,28,68,,1675738,71932,11815114,-15741,43054390
75,13,Frank Ocean,Pink + White,317,59,,1672579,192747,10961275,145649,427479710
76,9,Drake,One Dance,1535,1,(x101),1669629,172906,11704115,10590,2224714216
